lga_name,lga_code,mean,q50,q025,q975
Bakura,802,219398.2567,216395.5,160109.975,296286.425
Okpe,10013,106556.7025,106032,90627.15,125851.175
Chikun,19002,1007131.75,1001115,810212.4,1239302.175
Ibadan South West,31010,130396.2428,128970.5,97928.625,171840.75
Ogbadibo,7015,196701.2506,196397,162147.425,233389.375
Kaiama,24011,399205.7369,394793.5,304011.3,518193.25
Kusada,423,136305.3027,135608.5,113870.85,162581.775
Idemili South,4011,308534.6728,302189.5,252872.95,404121
Ede North,30007,256384.6546,254332,209173.525,314580.725
Yala,9018,181641.9731,180760.5,157851.375,210898.075
Dikwa,108,122026.3415,121842,99397.55,146411.2
Lamurde,2009,115309.1735,114922,97733.925,135549.05
Sule Tankarkar,18030,247167.6365,245532.5,204666.375,297803.075
Opobo/Nkoro,33020,18847.7207,18732,15515.875,22926.15
Enugu South,14005,240000.7189,235696.5,195722.025,311740.4
Asa,24001,234172.7813,233454,193680.775,278816.4
Ikenne,28012,145835.9577,144993.5,118843.275,178626.125
Mayo-Belwa,2012,297550.9415,293438,217913.9,398733.425
Eastern Obolo,3002,22686.498,22595,19157.925,26903
Ohafia,1010,187703.5801,184590,154024.975,241815.2
Esan South-East,12005,87123.2835,85802.5,64328.9,117434.15
Isuikwuato,1008,162279.7375,160317,133657.875,203393.55
Oye,13016,94005.4834,93493,78741.85,112850.8
Kachia,19008,390823.3026,387865,297489.3,502193.9
Bassa,23004,120074.9825,119801,99520.625,141503.6
Bassa,32002,322599.5999,317505.5,233947.175,438506.025
Gada,604,496786.8454,494639,423222,581226.85
Ona Ara,31026,308580.6602,304140,225581.5,418003.675
Mai'Adua,424,215562.9147,214302,176740.625,261633.1
Madagali,2010,161497.0202,159063,118537.95,218154.275
Odeda,28016,245815.2475,244961.5,208774.025,289021.6
Oruk Anam,3026,186599.6846,184204,131850.875,258434.575
Misau,5014,342789.3704,336388,247372.65,477216.525
Apa,7003,164328.2558,164212.5,134478.925,195883.175
Ezinihitte,17004,199088.0708,195950,162808.375,252275.4
Ukanafun,3028,87888.2966,86171.5,60746.95,125152.825
Jos North,32005,850290.6319,823420.5,536787.45,1300919.175
Owerri West,17026,364680.4708,357633,298632.175,476198.6
Efon,13002,43583.6193,43305,35593.925,53276.35
Batsari,403,282106.9755,280956.5,239408.75,331568.15
Oshimili South,10015,316111.5651,314482.5,262486.675,380253.3
Isoko North,10009,154535.1775,153691.5,129709,183987.85
Augie,504,141947.1189,139400,96805.6,200743.65
Yauri,520,175330.3546,174026.5,138793.8,218946.35
Ejigbo,30010,159243.5125,158336,132357.7,192208.3
Tsafe,813,360681.8339,354333.5,256355.875,502969.5
Isi-Uzo,14010,125504.7006,122911.5,105516.6,160631.875
Oru West,17023,235561.3579,231678,193263.725,299549.3
Ikono,3012,99441.2096,98091.5,69612.125,136179.25
Udung Uko,3027,13669.8631,13607,11493.95,16273
Bali,35002,616203.0871,615707,506580.675,726972.35
Karasuwa,710,163835.4927,160923.5,113801.875,232438.05
Ibadan South East,31009,179464.3917,176634.5,131648.55,245351.575
Sagbama,6006,72271.5843,71242,54621.625,95549.15
Okigwe,17019,182422.9861,179970.5,151818.45,227635.275
Gboko,7005,942743.7745,939803,758821.8,1144338.025
Giwa,19003,466525.2121,464417,390197.525,552754.1
Asari-Toru,33006,29797.8282,29656.5,24710.725,35819.05
Olorunda,30027,180725.7627,179492.5,147474.675,221945.075
Aguata,4001,492463.5391,483589,410424.85,627564.95
Aba South,1002,284401.4879,280163.5,235749.9,356644.9
Remo North,28019,61143.8147,60825.5,50223.45,74309.275
Gagarawa,18016,85518.293,85060,72444.525,100637.575
Hong,2007,289789.659,288903,247865.85,337274.325
Abi,9001,56135.102,55937.5,48210.75,65075.5
Shomgom,16010,139247.1996,139190,116140,162783.025
Ningi,5015,676336.4892,668408.5,498077.175,901215.05
Ohaozara,11011,150781.1705,149222,112814,196441.25
Orlu,17020,342217.1161,336203,285031.725,433860.6
Marte,121,92306.0263,92432,76619.9,107643.525
Ngor-Okpala,17012,249123.4264,245567,206965.175,312551.325
Aleiro,501,84391.9586,83940,68756.975,103203.05
Kaduna North,19009,454148.2082,449120.5,343060.95,589810.85
Kanke,32008,187427.2854,183749,123979.475,271906.225
Akko,16001,934751.1753,932999,783578.8,1097227.65
Gokana,33012,89296.8212,88905,75280.675,106028.225
Nnewi North,4014,357957.3348,349910.5,288139.55,479388.6
Aniocha South,10002,193913.2723,192924.5,162260.375,231135.225
Ikeja,25011,271902.9797,268237,196480.775,368849.3
Funakaye,16005,329826.5507,327625.5,263303.375,407264.275
Obi Nwga,1009,342724.9668,338072.5,284372.9,428633.4
Wasagu-Danko,519,511086.0747,506525.5,400745.175,640887.05
Mushin,25014,181779.4021,177868.5,120587.925,264439.55
Burutu,10004,53159.271,52898,44870.7,62668.15
Ukwuani,10021,110478.781,109830.5,92710.975,131912.1
Yola North,2020,235752.7378,234244,185565.975,294735.375
Kurmi,35009,170290.7938,170444,139752.025,201016.575
Ifedayo,30015,18077.2952,17986.5,14940.85,21727.25
Guzamala,110,102275.4098,101997,79317.325,127234.775
Ogbomosho North,31021,434122.693,428906.5,312412.725,586723.725
Yusufari,717,275949.0961,272846.5,200651.8,370842.9
Nsit Atai,3019,59838.4524,58108,39617.575,89769.15
Ringim,18020,310159.1587,308946,264799.5,361870.125
Nangere,712,198056.4698,193895.5,134395.475,283939.825
Obokun,30024,115197.9759,114537.5,96126.975,138135.05
Sokoto South,617,408707.2943,406511.5,328521.825,501786.7
Oyun,24015,121748.5501,121452,99976.225,145276.85
Bosso,27005,465467.3532,463237.5,390095.65,553759.825
Oji-River,14014,191457.7135,188782,158136.8,240015.025
Sakaba,516,169607.1668,165721.5,116223.25,245443.5
Eleme,33009,283036.0239,281774,238604.725,335758.5
Ushongo,7022,434974.5456,430027,322380.6,574583.375
Calabar South,9009,193548.0565,192508,155545.075,238692.875
Sumaila,20011,607179.0065,602428,493667.05,743074.05
Dawakin Tofa,20021,461797.8838,454952.5,337464.825,626086.75
Uvwie,10022,224907.0292,224143.5,190170.475,265322.075
Owan East,12016,100777.0007,99415,75252.15,134128.825
Nsit Ibom,3020,94143.4665,92405,66150.625,132772.525
Gwandu,510,246586.1358,245457,200787.15,300841.275
Katagum,5012,576189.6334,568284.5,432098.725,761692.675
Bonny,33007,93830.6334,93357.5,79164.825,111003.875
Matazu,428,167934.1825,167169,142165.2,197853.675
Tafa,27024,416500.0977,416257,334478,502960.25
Ekiti,24004,46489.8687,46362,37429.7,56262.075
Tai,33023,61586.373,61369.5,53612.95,70885.225
Ughelli North,10019,329919.8263,328464,279714.45,388520.75
Girei,2004,233165.7725,230383.5,180578.6,302210.725
Aninri,14001,161648.5814,159254,134210,202628.475
Atisbo,31004,102818.5392,100605.5,72826.725,145747.6
Ardo-Kola,35001,395482.8971,395501.5,331299.125,459051.525
Ikom,9011,166612.3327,166106.5,143006.775,193851.75
Suru,518,252223.4522,248310.5,181334.625,345930.225
Ofu,23014,257801.0374,257416,209489.65,308254.4
Warawa,20019,151588.1189,150520.5,123806.2,184667.1
Kanam,32007,308226.0362,296727,181804.625,496076.8
Guyuk,2006,152454.6391,150584.5,111664.8,204635.15
Obowo,17016,130314.973,128473.5,108049.65,164501.325
Potiskum,714,525024.4925,512806.5,349153.725,772113.6
Bichi,20031,523941.0144,519066.5,422884.325,649576.975
Idanre,29008,201927.5874,201206,172502.6,236207.275
Zuru,521,305912.2198,302107,226859.9,407282.275
Onitsha South,4018,84598.1087,83451.5,68709.9,106923.4
Nsit Ubium,3021,81056.9179,79517,52796.625,119148.375
Faskari,413,328460.0918,326767,275054.4,390710.15
Nganzai,126,105256.8426,105213,84313.975,127181.4
Warri North,10023,59168.4039,58963,51004.925,68350.025
Uyo,3031,343588.2921,341764,283002.8,412489.275
Toto,26012,199773.2735,199316,167176.4,235460.375
Jere,113,561142.2215,562559,460716,652354.95
Amuwo Odofin,25004,409457.4827,404756,310976.075,530584.875
Olorunsogo,31024,97568.3812,96233,72626.875,129835.075
Njaba,17013,130597.5913,128561,107264.9,165641.15
Ayamelum,4007,44193.6768,43367.5,36571.95,56930.7
Kebbe,610,131947.6102,131270.5,111660.75,155445.5
Kukawa,117,121530.7637,121643.5,97234.6,145467.325
Omala,23019,117209.871,117140,96372.625,138629.1
Kibiya,20033,262361.1283,260206.5,211842.775,324111.175
Yenegoa,6008,527419.2408,525557.5,449428.7,616197.875
Ayedade,30001,179758.9641,178889.5,148796.325,216130.65
Abak,3001,161320.9572,158669,117265.125,221524.275
Damaturu,703,373837.1162,367849.5,274706.4,507033.975
Birnin Kudu,18022,610434.632,607631.5,520362.825,713388.55
Charanchi,406,229758.4726,228819,195342.225,269205.1
Ibaji,23006,82278.7463,81934.5,69224.5,96932.45
Odigbo,29013,287347.8277,285903,240797.35,341038.775
Ingawa,415,229353.266,228162.5,191959.45,272102.5
Biase,9006,68553.3248,68389.5,58460.65,80184.3
Kware,611,390912.2179,389745,336705.8,451069.2
Ika South,10008,216377.7033,215172,181444.7,257485.5
Uhunmwonde,12018,391780.147,385114.5,281849.925,536833.125
Maiyama,514,212581.2926,209137.5,138955.9,307699.825
Ifo,28007,1321923.264,1312764,1086608.075,1605626.1
Magumeri,120,217612.1018,217097,172850.7,265576.725
Tarmuwa,715,217800.1801,216534,176314.875,267512.525
Onna,3024,65237.3878,64091.5,46313.425,91169.65
Kwande,7011,813873.1268,803785.5,610797.225,1069280.025
Aniocha North,10001,91927.4488,91495.5,77438.35,109182.025
Jos South,32006,816160.4568,794208,541620.8,1205168.1
Ogbaru,4016,189038.7007,186690.5,159787.775,231316.325
Kabo,20026,241586.4262,240392.5,199884.3,288459.15
Eket,3003,193045.7094,191645.5,156436.55,238052.975
Mubi North,2014,232123.7103,230132.5,182583.6,292542.975
Shagari,614,270315.762,269168,229678.8,317059.825
Tudun Wada,20029,525175.1699,522645.5,440483.3,623095.525
Yewa South,28005,247812.1969,246348,207422.425,297667.475
Ngaski,515,262505.6409,260660,209635.3,324302.6
Wushishi,27025,256122.3914,254583.5,207963.175,314065.8
Obubra,9013,66686.3158,66345,57989.925,77190.175
Uzo-Uwani,14017,130644.9756,129112,111074.95,159768.225
Magama,27014,508963.0586,505277,403235.725,637991.725
Enugu North,14004,285116.8061,281112,234395,360925.6
Takai,20002,491379.6954,487195.5,396508.15,606711.4
Mangu,32011,625803.5978,617406,458346.95,841996.625
Ekiti West,13005,80854.0386,80445,66999,97540.1
Irepodun,30020,94017.1466,93259.5,75405.325,116693.475
Irepodun,24009,188531.6762,188141.5,154044,225444.2
Nwangele,17015,132030.8665,130172,107263.925,167748.025
Adavi,23001,206477.0215,206354.5,162875.75,250656.075
Yorro,35015,181861.1681,181920.5,146338,218518.1
Ondo East,29015,39632.6574,39424,33590.85,46820.1
Nembe,6004,41422.2799,40705,30437,55945.7
Ezeagu,14006,263829.5965,260208,216347.95,332899.2
Izzi,11010,515964.076,509474,371780.6,696353.625
Kwali,15005,259087.7541,256199,198964.3,336133.425
Okrika,33018,141637.0542,141180.5,121823.85,165300.65
Wase,32017,466570.2341,452356,283539.15,737348.375
Ife Central,30011,226460.5273,224891,179746.675,281492.775
Dutsin Ma,412,279583.1134,278618.5,240038.675,323716.125
Umu-Nneochi,1015,167778.7,165402.5,138534.9,211151.425
Ogbomosho South,31022,149133.2933,147859,121103.2,184030.1
Ondo West,29016,276739.4168,275144,229393.075,333120.5
Ido-Osi,13008,109470.3275,108815.5,90610.85,132692.1
Shira,5016,391242.408,382365,273989.95,559447.525
Damboa,107,231369.2727,231637,193427.775,269319.025
Shani,127,238940.9557,238806.5,196844.55,281477.25
Akoko North East,29001,123831.7236,122956.5,102042.875,149963.225
Giade,5009,242707.5645,237655.5,164611.8,351057.775
Idah,23007,103464.2291,103431.5,80186.25,127335.625
Irepodun/Ifelodun,13013,124132.115,123399.5,104141.9,147839.325
Khana,33014,237741.7327,237139,206338.9,272592.325
Gezawa,20010,417867.674,413515.5,310387.6,545493.9
Obudu,9014,117132.0732,116328.5,99691.8,139093.725
Sabon Gari,19019,475666.8109,470230.5,360364.95,622987.525
Kano Municipal,20043,376983.2897,372608.5,277297.65,503741.575
Okene,23017,136745.15,136647,107230.475,167136.625
Madobi,20036,259152.6724,254890,184140.7,357190.175
Pankshin,32013,309650.2545,303721,219436.625,436223.85
Kaugama,18001,167332.8353,166585,143049.225,195703.825
Ipokia,28014,283646.2315,282023,238897.85,337522.65
Mariga,27015,782138.5428,774583,606541.925,1002910.775
Kolokuma/Opokuma,6003,39144.8231,38762,29089.875,51846
Numan,2016,95077.0084,93774.5,71899.85,125783.375
Fika,704,326402.9729,322078.5,233877.525,443748.875
Shagamu,28020,727857.701,723419.5,607770.475,872897.05
Song,2018,344044.9533,339248,255703.8,459463.475
Ikpoba-Okha,12011,690507.5775,684504,544698.025,870240.9
Ideato North,17005,290527.402,286361.5,238803.525,365921.825
Ideato South,17006,88913.2287,87627,72092.9,113196.85
Ini,3015,118504.7539,117223.5,89538.3,153341.75
Buji,18018,209868.8193,208843,175810.5,249262.575
Yakurr,9017,115532.7422,115200,99117.35,134227.175
Yagba East,23020,99204.7806,99101,81187.825,117568.425
Kaita,418,259848.7885,258456.5,217711.725,309061.5
Keana,26005,112196.9032,111384.5,88819.925,139348.85
Ilorin East,24006,319435.261,319177.5,250664.925,391564.35
Ekiti East,13003,82023.6973,81560.5,67620.975,99017.05
Gamawa,5007,376807.3094,369462.5,262483.775,531507.525
Konduga,116,207367.457,207450.5,175340.825,238704.55
Kogi,23011,124893.4476,124657,106079.775,145316.875
Gwiwa,18009,114491.6585,113753.5,93647.375,139333.225
Ilaje,29010,175722.3373,174948,149258.05,206247.85
Bodinga,602,354758.0908,353485,303106.875,414121.5
Ughelli South,10020,113778.0186,113355,96944.575,133930.25
Makarfi,19018,281645.4344,280353,237508.35,332385.825
Saki East,31031,82412.081,80434,57979.275,118193.325
Mobbar,122,218696.4278,218684.5,174475.6,264746.175
Bunza,507,186217.7113,185474,153605.9,223740.8
Ganye,2003,277571.2641,274825.5,203543.75,369297.075
Ilesha East,30018,116265.8096,115447,96260.475,140666.45
Ussa,35013,152395.3245,152774,125372.95,178361.025
Gummi,806,347228.8405,343459,251687.225,466517.625
Obanliku,9012,94054.0923,93347,79451.275,112983.175
Paikoro,27019,422617.6701,421832.5,350987.925,502104.375
Arewa Dandi,502,268338.9225,266942.5,216796.95,327817.725
Oriade,30028,149326.4454,148387,124876.375,179283
Gwadabawa,607,423354.1,421970,359772.175,495263.175
Ika North East,10007,214370.4052,213158,178009.8,257588.275
Qua'An Pan,32014,567934.2631,550955.5,349039.575,892949.35
Koko-Besse,513,254121.3894,251335.5,188955.65,336325
Ogbia,6005,104096.2071,103054,80947.55,131990.35
Kankara,419,378098.1806,376201,314112.55,452694.55
Obot Akara,3022,122313.1471,120031.5,85487.275,172038.125
Zurmi,814,357169.6371,352232,257603.4,484829.225
Zango,434,138426.5474,137691.5,116577.525,163899.05
Ado-Ekiti,13001,525374.6451,522022,427778.5,641991.45
Abeokuta South,28002,376260.9181,373561,300930.275,466478.325
Shelleng,2017,129451.1761,127456.5,92679.85,176434.675
Bebeji,20025,360339.0854,357420,263154.775,476950.05
Ikere,13010,119779.8087,118889,96591.55,147882.875
Bagudu,505,451424.837,447006,331785.7,595537.675
Rimin Gado,20005,185071.1529,183905.5,151623.9,224732.125
Igbo-Eze-South,14009,254006.7303,251256.5,215291.575,309218.875
Sabuwa,431,171676.7725,171000,144220.6,203740.325
Sapele,10017,175536.9511,174749.5,148182.5,207862.725
Auyo,18013,126958.5141,126316,106814.95,150683.025
Ajaokuta,23002,169111.9015,168714.5,139733.275,200276.75
Ekwusigo,4009,184745.4974,181537.5,153187.55,235293.55
Etung,9010,44584.9293,44347.5,37433.7,53039.05
Obi,7014,131374.4069,131054,106143.175,158763.1
Obi,26011,214639.1217,214280,181723.325,250385.95
Okehi,23016,120000.6798,119777,96576.4,144529.45
Agwara,27002,154471.7623,152469.5,117514.75,203037.25
Bama,103,257871.1789,258210,216773.75,298141.1
Bungudu,805,496532.9443,488887.5,362330,677965.075
Anambra East,4002,76788.7698,75564,64403.825,96086.825
Chibok,106,127462.8304,127532.5,106446.875,148623.375
Ibarapa North,31013,84733.0814,83349,62998.95,114967.375
Ifako/Ijaye,25010,404026.5942,400680.5,328079.9,500624.775
Urue Offong/Oruko,3030,29593.4307,29404,24264.975,35783.275
Zing,35016,234001.5507,234265,189473,277857.475
Oyo East,31029,127396.0686,125965,102613.9,159351.875
Ikara,19005,404263.6972,399395,303230.575,533448.525
Talata Mafara,812,326382.092,323548.5,232492.575,441510.375
Baure,404,268773.2672,267211.5,222501.275,321611.525
Zaki,5020,264477.0447,260377,186828.875,363040.075
Wukari,35014,733748.7086,735575.5,606502.325,853596.325
Yewa North,28004,296011.9441,294997.5,255444.7,342966.825
Safana,432,251900.0684,250871,214321.6,295176.775
Rafi,27020,585895.442,581990,464152.3,732549.25
Itu,3016,113283.807,111681.5,88992.8,147334.95
Dekina,23005,567117.9922,566572.5,463276,677241.3
Mubi South,2015,228555.3886,225404,175919.3,299111.45
Offa,24013,251481.4122,251248.5,198490.625,307580.375
Ilejemeje,13012,18542.1611,18402,15276.975,22525.1
Obafemi Owode,28015,912361.4486,907194.5,767067,1088009.6
Bagwai,20038,359349.0417,351005.5,234176.725,537585.575
Minjibir,20040,380687.9762,374201,260354.225,537772.525
Logo,7012,435571.7483,431582.5,326284.75,565567.725
Dan Musa,409,200305.6004,199507.5,169529.65,235494.7
Oshodi/Isolo,25016,576388.6117,567444.5,430536.9,777605.3
Ibadan North East,31007,232066.8778,227947,169556.825,317003.875
Oshimili North,10014,311137.1567,309454.5,261401.525,372068.1
Bokkos,32003,400534.0116,394008,290302.35,543504.95
Baruten,24002,584009.3442,579023,460255.8,732403.4
Nasarawa Egon,26010,145602.644,145115,124316.75,168950.625
Ifelodun,24005,296463.6706,295745,244245.925,352227.125
Ifelodun,30016,164049.448,163006,130972.175,204035.175
Binji,601,122234.1785,121802.5,104252.975,142702.175
Osisioma Ngwa,1011,444029.1424,436484.5,372022.95,560147.275
Port-Harcourt,33022,528170.5687,526548.5,439201.8,627453.725
Sanga,19020,273098.7402,268259,193468.775,379515.3
Emuoha,33010,192810.0237,191945.5,162810.975,227874.525
Kabba/Bunu,23010,154026.1411,153797,125598.55,183978.125
Akoko South East,29003,45223.8261,44927.5,38236.975,53745.175
Bekwarra,9005,106200.3293,105667,91329.95,124203.65
Shanono,20013,284920.9065,279025,195127.725,410129.4
Ikwuano,1005,90022.8468,88897.5,73707.5,113020.65
Oguta,17017,209914.1806,206091,174402.9,267712.075
Abeokuta North,28001,344523.1082,342467.5,284185.15,416901.075
Jama'Are,5011,130072.4522,129233,105131.75,159451.5
Musawa,429,240145.1741,239254,202427.7,282810.225
Ohaukwu,11012,401903.1673,399701,322274.55,494895.8
Wamakko,621,583861.5693,582344.5,511019.975,664845.125
Agege,25001,186903.6288,184891.5,147127.075,238239.075
Iwajowa,31018,111181.6636,109810.5,83369.275,148738.875
Ido,31014,528309.0639,523586,393005.5,689713.475
Okitipupa,29014,182483.3102,181302.5,152572.225,219115.975
Kankia,420,243039.08,241986,205992.775,285767.025
Onitsha North,4017,264535.3122,259293.5,213443.525,349018.075
Gwaram,18008,586674.0992,584610,499157.725,684873.3
Zangon Kataf,19022,398222.6804,391579,295587.6,535031.5
Patani,10016,23449.0502,23335,19685.975,27931.05
Itas/Gadau,5010,302269.5946,296742.5,205566.475,433951.175
Riyom,32015,174075.9314,170742.5,114340.175,252846.5
Emure,13006,24897.5481,24777,21153.975,29301.225
Gwarzo,20017,424081.5392,417526,305155.975,578754.025
Brass,6001,61403.9259,61071,51467.95,73272
Fagge,20030,360368.2853,356929.5,272941.325,470744.825
Ikot Ekpene,3014,229778.2435,228526,184153.425,284773.225
Lafia,26008,926217.5644,923568,779800.2,1089838.8
Ayedire,30002,72066.0353,71606,59960.925,86676.875
Orsu,17021,150982.0688,148514.5,124741.425,192352.275
Shinkafi,811,216830.6002,213332.5,156714.3,295717.575
Gombi,2005,287712.9046,284507.5,213174.8,383576.925
Ovia North-East,12014,290028.9061,287635,217261.9,378606.075
Ifedore,29009,323069.1624,320961.5,266035.6,393076.525
Owerri North,17025,383059.7143,374810.5,310152.65,507819.6
Kumbotso,20044,1154392.367,1144502,860570.65,1502178.2
Isiala-Ngwa South,1007,210286.7294,206739.5,165201.2,275973.25
Takum,35012,412610.3839,413644,337710.725,482097.95
Barkin Ladi,32001,308113.6703,303646,223426.625,418208.325
Enugu East,14003,409888.3777,401824.5,338972.6,529848.45
Isin,24010,49920.6624,49757,40716.65,59990.15
Gaya,20007,371564.2287,364925.5,253915,523079.775
Katsina,421,733560.4765,729591.5,595463.525,895572.45
Akure North,29005,236766.8582,235346.5,198144.85,283183.125
Degema,33008,24103.6463,23956,20153.925,28753.125
Ukwa West,1014,97471.7002,96104.5,79995.7,122721.275
Miga,18014,154054.0372,153375,129509.675,182217.025
Oluyole,31025,510864.8727,503696,380951.85,680417
Karu,26004,1259007.319,1258886,1021558.825,1497880.625
Wurno,622,298237.073,297296,250084.825,352683.25
Ori Ire,31028,174603.8526,172115.5,132791.2,230009.075
Jalingo,35007,570228.8503,568409.5,465622.475,679035.575
Kaga,114,127349.5138,127386,106110,148761.6
Dunukofia,4008,168398.8752,164988,137393.975,221730.35
Buruku,7004,467724.4398,461797.5,342389.4,625239.275
Kajola,31019,121866.7819,120431,92435.575,159226
Oyi,4021,275588.9373,270187,227206.9,358157.625
Esan North-East,12003,163316.4248,161533,122673.875,213113.25
Tarka,7020,246548.3523,244279,186059.4,318969.375
Zaria,19023,772390.1543,765253.5,602307.5,983129.425
Kaltungo,16007,200028.4929,200177,167786.525,232354.075
Ezza South,11006,223305.547,221386.5,177849.125,281515.2
Agatu,7002,124820.9721,124842.5,105086.625,144760.1
Idemili North,4010,449101.5437,439909,369216.775,586053.175
Andoni,33005,55664.0539,55451,47647.95,65019.175
Biriniwa,18021,194579.1487,193662.5,163441.975,231134.325
